"OrigName","MainName","TeamID"
"SG Mellensee/Rangsdorf","SG Mellensee/Rangsdorf",126
"SG Mittelnkirchen/Stade","SG Mittelnkirchen/Stade",127
"SG Nordenham/Wahnbek","SG Nordenham/Wahnbek",128
"SG Nordheim / Augsburg","SG Nordheim / Augsburg",129
"SG Oldenburg/Nordenham","SG Oldenburg/Nordenham",130
"SG Osnabrück-Paderborn","SG Osnabrück-Paderborn",131
"SG Osnabrück/Bielefeld","SG Osnabrück/Bielefeld",132
"SG Osnabrück/Dinklage","SG Osnabrück/Dinklage",133
"SG Potsdam","SG Potsdam",134
"SG Potsdam / Mellensee","SG Potsdam/Mellensee",135
"SG Potsdam/Mellensee","SG Potsdam/Mellensee",135
"SG PSV 90 Dessau / SV Rotta","SG PSV 90 Dessau / SV Rotta",136
"SG PSV München / Stern München II","SG PSV München / Stern München II",137
"SG Regenbogen West-Berlin","SG Regenbogen West-Berlin",138
"SG Rohrdorf / Nürnberg","SG Rohrdorf / Nürnberg",139
"SG Rohrdorf-Nürnberg","SG Rohrdorf / Nürnberg",139
"SG Roxel-Steinfurt","SG Roxel-Steinfurt",140
"SG Schenefeld/Kölln-Reisiek","SG Schenefeld/Kölln-Reisiek",141
"SG Schriesheim-Mannheim","SG Schriesheim-Mannheim",142
"SG Schriesheim/Mannheim","SG Schriesheim-Mannheim",142
"SG Schwarzenbek/Glinde","SG Schwarzenbek/Glinde",143
"SG SCS Berlin/Eisbären Juniors","SG SCS Berlin/Eisbären Juniors",144
"SG Seebergen/Lilienthal","SG Seebergen/Lilienthal",145
"SG Seebergen/Lilienthal (GF)","SG Seebergen/Lilienthal",145
"SG Tetenbüll/Siems","SG Tetenbüll/Siems",146
"SG Tetenbüll/Siems/Wyk","SG Tetenbüll/Siems/Wyk",147
"SG TSV Bordesholm / Preetzer TSV","SG TSV Bordesholm / Preetzer TSV",148
"SG TSV Bordesholm / Preetzer TSV / Gettorfer TV","SG TSV Bordesholm / Preetzer TSV / Gettorfer TV",149
"SG TSV Schwarzenbek / TSV Glinde","SG TSV Schwarzenbek / TSV Glinde",150
"SG TSV Tetenbüll / SV Hemmingstedt","SG TSV Tetenbüll / SV Hemmingstedt",151
"SG UHC Berlin/ VFL Tegel","SG UHC Berlin/VfL Tegel",152
"SG UHC Berlin/VfL Tegel","SG UHC Berlin/VfL Tegel",152
"SG Wyk/Husum","SG Wyk/Husum",153
"Sport-Club Itzehoe","SC Itzehoe",101
"Sport- Club Itzehoe","SC Itzehoe",101
"Sportvg Feuerbach","Sportvg Feuerbach",155
"Sportvg Feuerbach 1","Sportvg Feuerbach",155
"Sportvg Feuerbach 2","Sportvg Feuerbach 2",156
"SSC Hochdahl","SSC Hochdahl",157
"Dragons Bonn","SSF Dragons Bonn",158
"SSF Dragons Bonn","SSF Dragons Bonn",158
"SSF Dragons Bonn 2","SSF Dragons Bonn 2",159
"SSF Dragons Bonn II","SSF Dragons Bonn 2",159
"SSF Dragons Bonn Damen","SSF Dragons Bonn Damen",160
"SSV Heidenau","SSV Heidenau",161
"SSV Rapid","SSV Rapid",162
"STV Sedelsberg Hawks","STV Sedelsberg Hawks",163
"S&S Flensburg","SuS Flensburg",164
"SuS Flensburg","SuS Flensburg",164
"SV 03 Tübingen Sharks","SV 03 Tübingen Sharks",165
"Tübingen Sharks","SV 03 Tübingen Sharks",165
"SV Espenau Rangers","SV Espenau Rangers",166
"SV Haunwöhr","SV Haunwöhr",167
"SVE Hamburg","SVE Hamburg",168
"TB Burgsteinfurt 1862","TB Burgsteinfurt 1862",169
"TB Uphusen Vikings","TB Uphusen Vikings",170
"Teutonia Bielefeld","Teutonia Bielefeld",171
"TG Lauenburg","TG Lauenburg",172
"TG Teutonia Bielefeld","TG Teutonia Bielefeld",173
"Tollwut Ebersgöns","Tollwut Ebersgöns",174
"TSV Tollwut Ebersgöns","Tollwut Ebersgöns",174
"TSC Wellingsbüttel","TSC Wellingsbüttel",175
"TSG Erlensee","TSG Erlensee",176
"TSG Erlensee 1","TSG Erlensee",176
"TSG Erlensee 1874","TSG Erlensee",176
"TSG Füchse","TSG Füchse Quedlinburg",178
"TSG Füchse I","TSG Füchse Quedlinburg",178
"TSG Füchse Quedlinburg","TSG Füchse Quedlinburg",178
"TSG Füchse II","TSG Füchse Quedlinburg II",179
"TSG Füchse Quedlinburg II","TSG Füchse Quedlinburg II",179
"TSV 1899 Griedel","Floorball Griedel",54
"TSV Bordesholm","TSV Bordesholm",181
"TSV Bordesholm 2","TSV Bordesholm II",182
"TSV Bordesholm II","TSV Bordesholm II",182
"TSV Calw Lions","TSV Calw Lions",183
"TSV Hochdahl","TSV Hochdahl",184
"TSV Lesum-Burgdamm","TSV Lesum-Burgdamm",185
"TSV Neuwittenbek","TSV Neuwittenbek",186
"TSV Schwarzenbek","TSV Schwarzenbek",187
"TuRa Meldorf","TuRa Meldorf",188
"TuS Bloherfelde","TuS Bloherfelde",189
"TuS Gaarden Kiel","TuS Gaarden Kiel",190
"TV 1883 Schriesheim","TV 1883 Schriesheim",191
"TV Augsburg","TV Augsburg",192
"TV Dinklage","TV Dinklage",193
"TV Eiche Horn Bremen","TV Eiche Horn Bremen",194
"TV Eiche Horn Bremen II","TV Eiche Horn Bremen II",195
"TV Eiche Horn II","TV Eiche Horn Bremen II",195
"TV Eiche Horn U21","TV Eiche Horn Bremen II",195
"TV Lilienthal","Lilienthaler Wölfe",76
"TV Schriesheim","TV Schriesheim",197
"1. UC Braunschweig","UC Braunschweig",198
"UC Braunschweig","UC Braunschweig",198
"UC Braunschweig I","UC Braunschweig",198
"UHC Berlin","UHC Berlin",199
"UHC Döbeln 06","UHC Döbeln 06",200
"UHC Döbeln 06 II","UHC Döbeln 06 II",201
"UHC Elster","UHC Elster",202
"UHC Sparkasse Weißenfels","UHC Sparkasse Weißenfels",203
"UHC Sparkasse Weißenfels (D)","UHC Sparkasse Weißenfels (D)",204
"UHC Sparkasse Weißenfels Damen","UHC Sparkasse Weißenfels (D)",204
"UHC Sparkasse Weißenfels II","UHC Sparkasse Weißenfels II",205
"UHC Weißenfels","UHC Sparkasse Weißenfels",203
"Unihockey Igels Dresden","Unihockey Igels Dresden",207
"Unihockey Igels Dresden II","Unihockey Igels Dresden II",208
"United Lakers Konstanz","United Lakers Konstanz",209
"USV Halle Saalebiber","USV Halle Saalebiber",210
"USV Halle Saalebiber II","USV Halle Saalebiber II",211
"USV Jena","USV Jena",212
"USV TU Dresden","USV TU Dresden",213
"USV TU Dresden II","USV TU Dresden II",214
"UV Zwigge 07","UV Zwigge 07",215
"VBC Olympia 72 Ludwigshafen","VBC Olympia 72 Ludwigshafen",216
"Red Hocks Kaufering","VfL Red Hocks Kaufering",217
"VfL Red Hocks Kaufering","VfL Red Hocks Kaufering",217
"VfL Red Hocks Kaufering II","VfL Red Hocks Kaufering II",219
"VfL Tegel","VfL Tegel",220
"Westfälischer Floorball Club","Westfälischer Floorball Club",221
"Young Rockets","Young Rockets",222
"MFBC Leipzig/Schkeuditz/Grimma","MFBC Leipzig/Schkeuditz/Grimma",223
"SCS Berlin Floorball Nation","SCS Berlin Floorball Nation",224
"SG Gießen/Marburg","SG Gießen/Marburg",225
"SG Mainz/St.Wendel","SG Mainz/St.Wendel",226
"SG TSV Bordesholm / TuS Gaarden","SG TSV Bordesholm / TuS Gaarden",227
"TSG Erlensee 2","TSG Erlensee 2",228
