,ID,Date,League,GT1,GT2,T1ID,T2ID
133,1670,2014-10-25,Westliga Herren Großfeld,2,4,1,157
134,3742,2014-10-25,Westliga Herren Großfeld,3,9,176,78
135,4387,2014-10-25,Westliga Herren Großfeld,2,1,157,166
136,4519,2014-10-25,RL Herren GF Staffel 1,5,4,201,88
137,5287,2014-10-25,Westliga Herren Großfeld,4,1,56,159
138,8750,2014-10-25,1. FBL Herren,10,7,80,207
139,7521,2014-10-25,2. FBL Nord/West,6,5,194,186
140,7187,2014-10-25,RL Herren GF Staffel 2,2,4,43,81
141,2232,2014-10-25,RL Herren GF Staffel 1,2,8,121,208
142,497,2014-10-25,1. FBL Herren,4,3,38,217
143,9464,2014-10-25,Regionalliga Nordwest (Herren GF),5,4,163,118
144,5656,2014-10-25,Westliga Herren Großfeld,2,3,159,176
145,5603,2014-10-25,2. FBL Nord/West,2,2,19,32
146,2420,2014-10-26,2. FBL Süd/Ost,3,3,197,60
147,6874,2014-10-26,RL Herren GF Staffel 1,6,4,215,201
148,3685,2014-10-26,RL Herren GF Staffel 2,3,5,43,55
149,277,2014-10-26,Regionalliga Süd (GF),1,4,24,155
150,2221,2014-10-26,1. FBL Herren,7,7,97,80
151,1729,2014-10-26,Regionalliga Nordwest (Herren GF),2,4,189,76
152,5560,2014-10-26,RL Herren GF Staffel 2,3,12,136,98
153,2268,2014-10-26,1. FBL Herren,8,9,11,203
154,7000,2014-10-26,Regionalliga Nordwest (Herren GF),6,7,127,170
155,1855,2014-10-26,RL Herren GF Staffel 1,2,5,88,204
156,5600,2014-10-26,Regionalliga Süd (GF),7,3,112,24
157,6897,2014-10-26,1. FBL Herren,3,13,207,48
158,6822,2014-10-26,Regionalliga Süd (GF),2,6,155,112
159,1923,2014-10-26,2. FBL Süd/Ost,12,5,210,213
160,7691,2014-10-26,2. FBL Süd/Ost,2,13,15,99
161,5727,2014-10-26,1. FBL Herren,3,8,76,217
162,4009,2014-11-08,2. FBL Nord/West,5,7,19,52
163,6999,2014-11-08,Regionalliga Süd (GF),2,6,219,46
164,8922,2014-11-08,1. FBL Herren,9,2,207,158
165,2297,2014-11-08,2. FBL Süd/Ost,5,4,209,210
166,3465,2014-11-08,Regionalliga Süd (GF),4,3,37,95
167,8335,2014-11-08,Herren Großfeld Verbandsliga Nord,9,3,175,23
